,ID,jamfaktor,tedadfaktor,jamMarjoee,TedadMarjoee,jamNaghd,TedadNaghd,jamcheck,Tedadcheck,tedadBargashti,JamBargashti,TedadBargashtiHazer,RialBashtiHazer,jamBedehi,TedadBedehi,Malek,Metrajh,EtebarRial,EtebarTedady,EtebarRialiNaghdi,Khas,sNoePardakht,akharinFaktor,AvalinFaktor,AkharinMarjoee,AvalinMarjoee
0,23856,57095000.0,33,4287200.0,8,7296300,21,28210000,2,1,11875000,1,11875000.0,12901000.0,5,0,0,0,0,0,0,3953,1942,2088,1941,2021
1,23857,7864000.0,11,3070000.0,2,4665000,9,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1891,2088,1937,2050
2,23858,1920000.0,2,0.0,0,1920000,2,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,2058,2088,0,0
3,23859,9626100.0,23,1485400.0,11,8140700,24,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1883,2088,1882,2064
4,23860,11662300.0,28,1014100.0,8,10648200,28,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1871,2088,1882,2074
5,23861,27764800.0,51,2996200.0,20,24768600,55,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1871,2088,1882,2074
6,23862,20861000.0,19,483500.0,6,20269500,22,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1904,2088,1941,2088
7,23863,6602000.0,18,954000.0,5,5648000,16,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1886,2088,1885,2082
8,23864,810000.0,3,597000.0,2,213000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1995,2088,1994,2081
9,23865,2417000.0,3,2417000.0,3,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,2016,2061,2015,2060
10,23866,2330500.0,5,0.0,0,2330500,5,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1984,2088,0,0
11,23867,2297100.0,4,110000.0,2,2187100,4,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1883,2068,1948,1983
12,23868,6916000.0,10,1308000.0,3,5608000,10,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1883,2061,1896,2060
13,23869,7020500.0,15,450200.0,4,6570300,14,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1890,2088,1941,2074
14,23870,961500.0,1,961500.0,1,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,2088,2088,2082,2082
15,23871,64201550.0,46,6737300.0,22,53754250,51,3710000,2,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1883,2088,1889,2082
16,23872,264000.0,1,0.0,0,264000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,2088,2088,0,0
17,23873,8044500.0,13,1923000.0,6,6121500,13,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1883,2078,1882,2075
18,23874,8668100.0,29,467300.0,5,8200800,30,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1871,2088,1906,2071
19,23875,14795600.0,29,387800.0,5,14407800,29,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1871,2088,1924,2071
20,23876,2284900.0,4,928800.0,2,1356100,3,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1935,2088,1934,2088
21,23877,652594266.0,142,34034470.0,94,184992086,117,402900000,45,0,0,0,,18480820.0,3,0,0,0,0,0,0,3953,1871,2066,1881,2064
22,23878,3635300.0,6,1081550.0,4,2553750,5,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,3953,1936,2088,1935,2082
23,23879,6823800.0,12,115200.0,1,6644100,15,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1918,2088,1965,1965
24,23880,12775600.0,34,1684500.0,10,10801000,32,0,0,0,0,0,,290100.0,1,0,0,0,0,0,0,3953,1871,2087,1874,2024
