,Code,CodeAsli,CodeFarei,Sharh,Dideh,SharhLatin,MeghdarAdadi,CodeLink,NameEnum,GHeader,UserName,Tarikh,Saat
0,0,0,0,-------,1,,0.0,0,,0,administrator,13850815,10:12:01
1,2,13,1,بستانکاری ابتدای دوره,1, ,0.0,0, ,0, , , 
2,3,13,1,مرجوعی بستانکاری,1,,0.0,0,,0,,,
3,4,13,1,تبدیل به تخفیف,1,,0.0,0,,0,,,
4,5,13,1,پرداخت با سایر,1,,0.0,0,,0,,,
5,6,2,0,ماهیت گروه,0,,0.0,0,HE_MahiatGoroh,255,,,
6,7,2,1,سود و زیانی,0,,0.0,0,SodVaZiany,255,,,
7,8,2,1,ترازنامه ای,0,,0.0,0,TarazNameey,255,,,
8,9,2,1,انتظامی,0,,0.0,0,Entezamy,255,,,
9,10,3,0,ماهیت کل,0,,0.0,0,HE_MahiatKol,255,,,
10,11,3,1,بدهکار,0,,0.0,0,Bedehkar,255,,,
11,12,3,1,بستانکار,0,,0.0,0,Bestankar,255,,,
12,13,3,1,مهم نیست,0,,0.0,0,MohemNist,255,,,
13,14,4,0,ماهیت معین,0,,0.0,0,HE_MahiatMoeen,255,,,
14,15,4,1,بدهکار,0,,0.0,0,Bedehkar,255,,,
15,16,4,1,بستانکار,0,,0.0,0,Bestankar,255,,,
16,21,4,1,مهم نیست,0,,0.0,0,MohemNist,255,,,
17,26,6,0,بانکها,1,,0.0,0,,0,,,
18,27,6,1,ملی,1,,1.0,0,,0,,,
19,28,6,1,صادرات,1,,2.0,0,,0,,,
20,29,6,1,تجارت,1,,3.0,0,,0,,,
21,30,6,1,سپه,1,,4.0,0,,0,,,
22,31,6,1,ملت,1,,5.0,0,,0,,,
23,32,6,1,رفاه کارگران,1,,6.0,0,,0,,,
24,33,6,1,پارسیان,1,,7.0,0,,0,,,
25,34,6,1,سامان,1,,8.0,0,,0,,,
26,35,7,0,انواع حساب,0,,0.0,0,,0,,,
27,36,7,1,جاری,0,,0.0,0,,0,,,
28,37,7,1,پس انداز کوتاه مدت,0,,0.0,0,,0,,,
29,38,7,1,پس انداز بلند مدت,0,,0.0,0,,0,,,
30,40,8,0,نوع عملیات خزانه,0,,0.0,0,DP_NoeAmalyatDP,0,,,
31,41,8,1,دریافت,0,,0.0,0,Daryaft,0,,,
32,42,8,1,پرداخت,0,,0.0,0,Pardakht,0,,,
